movieID,title,studio,genres,directors,writers,actors,year,length,shortDescription,mpaRating,criticsRating
1,3 idiots,Vinod Chopra Films,Comedy Adventure Fantasty,Rajkumar Hirani,Abhijat  JoshiRajkumar  HiraniVidhu Vinod Chopra,Aamir Khan Madhavan Mona Singh,2009,170,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them ""idiots"".",PG,8.4
2,The Matrix,Warner Bros. Pictures,ActionSci-Fi,Lana Wachowski Lilly Wachowski,Lana Wachowski Lilly Wachowski,"Keanu Reaves Laurence Fishburne Carrie-Anne Moss",1999,136,When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.,R,8.7
3,Black Friday,Paramount Pictures,Action Adventure Fantasty,Anurag Kashyap,Hussain Zaidi Piyush Mishra,Kay Kay  MenonPawan Malhotra Aditya Srivastav,2004,151,A film about the investigations following the 1993 serial Bombay bomb blasts told through the different stories of the people involved --police conspirators victims middlemen.,PG,8.4
4,Dangal,Universal Pictures,Adventure  Comedy  Sci-Fi,Amir Khan,Vinod Kashyap Piyush Gupta,Aamir Khan Sakshi Tanwar Fatima Sana Shaikh,2016,161,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,PG,8.9
5,Jersey,Twentieth Century Fox,Adventure Sports,Gautam Tinanuri,Pradeep RishiRaj Gowtam Tinnanuri,NaniShraddha  SrinathSathyaraj,2020,147,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,R,8
6,Drishyam 2,Yash Chopra Films,Action Adventure Mystery,Jeetu Joseph,Ajay Devgan Jeetu Joseph,Ajay Devgan Tabu,2022,155,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,PG,8.9
7,Sardar Udham Singh,Amazon Original,Action Drama Mystery History,Shoojit Sircar,Ritesh Sity,Vicky Kaushal Katrina Kaif,2021,117,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,R,8.4
8,The Terminator,Orion Pictures,Action Sci-Fi,James Cameron,"James Cameron Gale Anne Hurd William Wisher","Arnold Schwarzenegger Linda Hamilton Michael Biegn",1984,107,A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.,R,8.1
9,Bhaag Milkha Bhaag,Twentieth Century Fox,Adventure Comedy Family,Rakeysh Omprakash Mehra,Prasoon Joshi,Farhan AkhtarJaptej Singh Divya Dutta,2013,164,A bedridden boy's grandfather reads him the story of a farmboy-turned-The truth behind the ascension of Milkha Singh who was scarred by of the India-Pakistan partition.,PG,8.4
10,Sholay,GP Sippy Pictures,Action Adventure Sci-Fi,Ramesh Akhtar,Ravish Sippy,Dharmendra Amitabh Bachhan,1975,189,After his family is murdered by a notorious and ruthless bandit a former police officer enlists the services of two outlaws to capture the bandit.,PG,8.1
11,MS Dhoni,Vinod Chopra Films,Comedy Adventure Fantasty,Mathur Goswami,Abhijat  JoshiRajkumar  HiraniVidhu Vinod Chopra,Sushant Singh Rajput Disha Patani,2009,170,TeThe,PG,8.7
12,Uri,NeelaTele Films,Action Sci-Fi  Adventure,Aditya Dhar,Aditya Dhar,Vicky Kaushal Katrina Kaif,2019,139,The movie runs around a surgical strike which happens along border to eliminate terrorism.,PG,8.2
13,WAR,Paramount Pictures,Action Adventure Fantasty,Aditya Kapoor,Leela Bhansali,Hritik Roshan Tiger Shroff,2019,151,A film that runs around the investigation about a RAW agent who in disguise goes on rampage.,PG,8.3
14,Bang Bang,Universal Pictures,Adventure Comedy Action,Siddharth Anand,Prashant Shah,Hritik Roshan Tiger Shroff Katrina Kaif,2016,161,A chance encounter with a mysterious charmer leads to a bank employee's wild adventure.,PG,7.7
15,Krrish,Twentieth Century Fox,Adventure Action,Rakesh Roshan,Akarsh Khurana Honey Irani Sachin Bhowmick Robin Bhatt Rakesh Roshan,NaniShraddha  SrinathSathyaraj,2006,168,A crime fighter (Hrithik Roshan) must stop a destructive scientist (Naseeruddin Shah),R,7.2
16,Dhoom 2,Yash Chopra Films,Action Adventure Mystery,Sanjay Gadhvi,Guy Nockels Aashish Singh Aditya Chopra Yogendra Mogre Yash Chopra Sabrina Valente A.B. Moosa,Hritik Roshan Abhishek Bachhan Aishwarya Rai,2006,174,Indian police officers in Mumbai match wits with an international thief and his beautiful partner who wil both work on the robbery…,PG,7.6
17,Jodhaa Akbar,Ashutosh Gowariker Productions Private Limited,"Action Drama Mystery History", Ashutosh Gowariker,Ashutosh Gowariker Ronnie Screwvala, Hrithik Roshan and Aishwarya Rai Bachchan,2008,156,An emperor faces his greatest battle when he marries a defiant princess and leads to a fight and quarrel amongst other territories.,R,7.8
18,Extraction 2,Orion Pictures,Action Sci-Fi Adventure,Sam Hargrave,Tyler Rake,Chris Hemsworth,2020,117, Back from the brink of death highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster. Black Mirror. ,PG,8.1
19,Iron Man,Marvel Studios,Adventure Comedy Family,Jon Favreau,Writers Mark FergusHawk OstbyArt Marcum,Robert Downey Jr.Gwyneth PaltrowTerrence Howard,2008,164,After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.,PG,8.8
20,Captain America: The First Avenger,Marvel Studios,Action Adventure Sci-Fi,Joe Johnston,Christopher Marcus Joe Sinner,Chris Evans Hugo Weaving,2011,189,"Steve Rogers a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",PG,8.5
